,tanggal,tgl,jml_pswt_dtg_dom,jml_pswt_brkt_dom,jml_pnp_dtg_dom,jml_pnp_brkt_dom,jml_pswt_dtg_intl,jml_pswt_brkt_intl,jml_pnp_dtg_intl,jml_pnp_brkt_intl,jml_pnp_brkt,jml_pnp_dtg,jml_pswt_brkt,jml_pswt_dtg,mode,kapal_turun,kapal_naik,naik,turun,jml_pnp_brgkt,bus_brgkt,bus_dtg,jml_pnp_turun,jml_pnp_naik,total_passengers,year,days_relative_to_lebaran
0,2021-05-06,06 May,350.0,342.0,6529.0,6871.0,45.0,51.0,1961.0,1478.0,8349.0,8490.0,393.0,395.0,Air,,,,,,,,,,,2021,-7
1,2021-05-07,07 May,343.0,353.0,7244.0,8020.0,51.0,48.0,1956.0,1043.0,9063.0,9200.0,401.0,394.0,Air,,,,,,,,,,,2021,-6
2,2021-05-08,08 May,351.0,301.0,7576.0,7843.0,41.0,44.0,1759.0,677.0,8520.0,9335.0,345.0,392.0,Air,,,,,,,,,,,2021,-5
3,2021-05-09,09 May,323.0,331.0,10883.0,11916.0,50.0,42.0,1612.0,721.0,12637.0,12495.0,373.0,373.0,Air,,,,,,,,,,,2021,-4
4,2021-05-10,10 May,323.0,324.0,6848.0,7249.0,32.0,38.0,1818.0,815.0,8064.0,8666.0,362.0,355.0,Air,,,,,,,,,,,2021,-3
5,2021-05-11,11 May,357.0,356.0,9343.0,10224.0,42.0,41.0,848.0,545.0,10769.0,10191.0,397.0,399.0,Air,,,,,,,,,,,2021,-2
6,2021-05-12,12 May,334.0,332.0,9054.0,9098.0,44.0,44.0,1165.0,521.0,9619.0,10219.0,376.0,378.0,Air,,,,,,,,,,,2021,-1
7,2021-05-13,13 May,97.0,98.0,1586.0,1936.0,32.0,35.0,1095.0,527.0,2463.0,2681.0,133.0,129.0,Air,,,,,,,,,,,2021,0
8,2021-05-14,14 May,177.0,176.0,3859.0,4461.0,36.0,33.0,1346.0,826.0,5287.0,5205.0,209.0,213.0,Air,,,,,,,,,,,2021,1
9,2021-05-15,15 May,208.0,212.0,5200.0,5561.0,25.0,28.0,731.0,388.0,5949.0,5931.0,240.0,233.0,Air,,,,,,,,,,,2021,2
10,2021-05-16,16 May,209.0,216.0,11175.0,11232.0,35.0,31.0,1156.0,1270.0,12502.0,12331.0,247.0,244.0,Air,,,,,,,,,,,2021,3
11,2021-05-17,17 May,307.0,311.0,11123.0,11431.0,28.0,31.0,1158.0,695.0,12126.0,12281.0,342.0,335.0,Air,,,,,,,,,,,2021,4
0,2021-05-06,06 May,,,,,,,,,,,,,Sea,515.0,451.0,12319.0,17704.0,,,,,,,2021,-7
1,2021-05-07,07 May,,,,,,,,,,,,,Sea,488.0,441.0,12301.0,14890.0,,,,,,,2021,-6
2,2021-05-08,08 May,,,,,,,,,,,,,Sea,500.0,461.0,12612.0,14359.0,,,,,,,2021,-5
3,2021-05-09,09 May,,,,,,,,,,,,,Sea,495.0,427.0,12252.0,13633.0,,,,,,,2021,-4
